,Unnamed: 0,PROPERTY_ID,MARKETID,MARKET_NAME,SUBMARKET_CODE,SUBMARKET_NAME,COUNTY_NAME,PROPERTY_NAME,PROPERTY_PRIORNAMES,PROPERTY_ADDRESS,PROPERTY_CITY,PROPERTY_STATE,PROPERTY_ZIPCODE,PROPERTY_LATITUDE,PROPERTY_LONGITUDE,PROPERTY_UNITS,PROPERTY_SQFT,PROPERTY_ACRES,PROPERTY_IMPRATING,PROPERTY_LOCRATING,PROPERTY_DATECOMPLETED,PROPERTY_CURRENT_OCCUPANCY,PROPERTY_CURRENT_RENT,PROPERTY_RENTPERSQFT,PROPERTY_RENTPERSQFTALLUNITS,mean_submarket,min_submarket,max_submarket,mean_market,min_market,max_market,Censustract
1152,4023,1_68,1,Phoenix,12,Central West Phoenix,Maricopa,Verde Vista,"Bella Vista, Bella Verde/ Sans Souci",3030 North 35th Avenue,Phoenix,AZ,85017,33.4825811,-112.1347098,181,69900,4.0,C-,C-,1978-05-01 00:00:00,100.0,818,0.01170243204577969,2.118140200286123,1.763873707429301,1.489409681227863,2.118140200286123,1.950832251918449,0.9220696466690032,4.316079488832874,Census Tract 1101
1153,4025,1_703,1,Phoenix,7,Northwest Phoenix,Maricopa,Casa Maribela,"Maribela, Maryland West",2540 West Maryland Avenue,Phoenix,AZ,85017,33.5327,-112.113959,192,158844,6.287,C+,C,1985-08-01 00:00:00,93.2,1131,0.00712019339729546,1.367077132280728,1.860233956401655,1.14262988661364,2.971698113207547,1.950832251918449,0.9220696466690032,4.316079488832874,Census Tract 1068.01
1154,4029,1_721,1,Phoenix,8,Christown,Maricopa,Rise at the Preserve,"Cascada del Sol, Spanish Steps, Canyon Walk",1502 West Glendale Avenue,Phoenix,AZ,85021,33.5392087,-112.0916169,166,95564,4.19,C+,C+,1974-06-01 00:00:00,95.2,1221,0.01277677786614206,2.120945125779582,1.789991519443935,1.126717557251908,2.363299351251158,1.950832251918449,0.9220696466690032,4.316079488832874,Census Tract 1061
1155,4033,1_74,1,Phoenix,16N,North Tempe,Maricopa,Omnia McClintock,"Cabana on McClintock, Villages at McClintock",1701 East Don Carlos Avenue,Tempe,AZ,85281,33.4173926,-111.9100175,181,135410,6.73,C+,B,1962-01-01 00:00:00,90.6,1480,0.01092976885015878,1.978288161878739,2.154585565832481,1.259916348761318,3.128756683670334,1.950832251918449,0.9220696466690032,4.316079488832874,Census Tract 3191.03
1156,4034,1_753,1,Phoenix,4N,North Black Canyon,Maricopa,Canyon Springs,Northwood Village,14020 North Black Canyon Hwy,Phoenix,AZ,85053,33.6134177,-112.117497,203,144527,7.98,C+,C+,1981-11-01 00:00:00,95.1,1190,0.008233755630435836,1.671452392978475,1.689818589084235,1.41,2.289255506239008,1.950832251918449,0.9220696466690032,4.316079488832874,Census Tract 1041
1157,4037,1_780,1,Phoenix,3,Sunnyslope,Maricopa,Paradise Foothills,,12231 North 19th Street,Phoenix,AZ,85022,33.598777,-112.040368,180,139408,8.579,B,B,1985-09-01 00:00:00,100.0,1279,0.00917450935383909,1.651411683691036,1.626905139301702,1.081031557516118,2.168706720684999,1.950832251918449,0.9220696466690032,4.316079488832874,Census Tract 1037.01
1158,4038,1_782,1,Phoenix,19W,Chandler,Maricopa,Avana River Ranch,"River Ranch, South Park Springs",6152 West Oakland Street,Chandler,AZ,85226,33.3122854,-111.9475038,188,139486,9.79,B,A-,1988-03-01 00:00:00,92.6,1634,0.01171443729119768,2.202314210745164,1.998630223596245,1.585570879888268,2.42005614247303,1.950832251918449,0.9220696466690032,4.316079488832874,Census Tract 8104
1159,4044,1_811,1,Phoenix,15S,Mountain Park,Maricopa,Pacific Bay Club,Bay Club,11221 South 51st Street,Phoenix,AZ,85044,33.3449691,-111.9737092,192,151000,6.757,B+,B+,1988-05-01 00:00:00,95.8,1288,0.008529801324503311,1.637721854304636,1.894839590665629,1.637721854304636,2.120904543559816,1.950832251918449,0.9220696466690032,4.316079488832874,Census Tract 1167.08
1160,4046,1_82,1,Phoenix,2N,North Paradise Valley,Maricopa,Tatum Place,,16801 North 49th Street,Scottsdale,AZ,85254,33.63857,-111.97437,164,131820,6.22,B+,B+,1984-11-01 00:00:00,87.8,1961,0.01487634653315127,2.439720831436808,2.130609011719109,1.429553820638324,3.671753824261828,1.950832251918449,0.9220696466690032,4.316079488832874,Census Tract 1032.16
1161,4048,1_834,1,Phoenix,4S,Metrocenter,Maricopa,Palm Desert,El Chaparral,8429 North 27th Avenue,Phoenix,AZ,85051,33.559707,-112.1161785,161,122880,3.38,C+,C+,1970-01-01 00:00:00,98.1,1238,0.01007486979166667,1.622054036458333,1.680785303008309,1.141658548056573,2.06568841233906,1.950832251918449,0.9220696466690032,4.316079488832874,Census Tract 1055.01
1162,4049,1_841,1,Phoenix,1N,North Scottsdale,Maricopa,Villa Montana,Rancho Montana,11350 East Sahuaro Drive,Scottsdale,AZ,85259,33.5850409,-111.836002,208,163616,8.71,B,B+,1986-09-01 00:00:00,94.2,1452,0.008874437707803638,1.845883043223157,2.317601461141418,1.566635347921077,3.647065112798033,1.950832251918449,0.9220696466690032,4.316079488832874,Census Tract 2168.37
1163,4050,1_843,1,Phoenix,19W,Chandler,Maricopa,Riviera Park,,125 South Dobson Road,Chandler,AZ,85224,33.3010429,-111.8744367,201,146220,12.458,B-,B,1983-01-01 00:00:00,97.0,1173,0.008022158391464916,1.612453836684448,1.998630223596245,1.585570879888268,2.42005614247303,1.950832251918449,0.9220696466690032,4.316079488832874,Census Tract 5231.03
1164,4052,1_860801,1,Phoenix,18N,East Mesa,Maricopa,Springs at Red Mountain,,2639 North Power Road,Mesa,AZ,85215,33.4632763,-111.6812275,192,190145,10.43,B+,B+,2021-03-19 00:00:00,95.3,1862,0.009792526755896815,1.880165137132189,1.733845881634095,1.034472727272727,2.228030612000096,1.950832251918449,0.9220696466690032,4.316079488832874,Census Tract 4201.09
1165,4053,1_861477,1,Phoenix,19E,Gilbert,Maricopa,Acero Cooley Station,,3939 East Vest Avenue,Gilbert,AZ,85295,33.309882,-111.705227,182,179030,8.52,A-,B,2020-07-17 00:00:00,100.0,1975,0.01103167066972016,2.007764061889069,1.929010456206908,1.556861799961946,2.431159420289855,1.950832251918449,0.9220696466690032,4.316079488832874,Census Tract 8152.02
1166,4062,1_917656,1,Phoenix,16N,North Tempe,Maricopa,Hudson on Farmer,,707 South Farmer Avenue,Tempe,AZ,85281,33.4226055,-111.9440867,171,146639,1.38,A-,B+,2021-07-09 00:00:00,,2221,0.01514603891188565,2.589972653932446,2.154585565832481,1.259916348761318,3.128756683670334,1.950832251918449,0.9220696466690032,4.316079488832874,Census Tract 3188
1167,4063,1_918,1,Phoenix,6,Glendale,Maricopa,Fountain Place,,8513 North 69th Avenue,Peoria,AZ,85345,33.5602162,-112.2069377,164,154242,8.75,C+,C+,1984-01-01 00:00:00,97.0,1293,0.008382930719259345,1.374800637958533,1.732828227194593,1.206419073819349,2.471443132870812,1.950832251918449,0.9220696466690032,4.316079488832874,Census Tract 932
1168,4070,1_936,1,Phoenix,4N,North Black Canyon,Maricopa,North Mountain Foothills,"Paradise Village, Mountain View Village",1943 West Aster Drive,Phoenix,AZ,85023,33.6011695,-112.1008333,174,128990,6.66,B-,B-,1970-01-01 00:00:00,98.3,1237,0.009589890689200714,1.668640979920924,1.689818589084235,1.41,2.289255506239008,1.950832251918449,0.9220696466690032,4.316079488832874,Census Tract 1039
1169,4072,1_951,1,Phoenix,16N,North Tempe,Maricopa,Omnia on 8th,Foxfire,1701 East 8th Street,Tempe,AZ,85281,33.418923,-111.910703,188,127928,7.389,B,B,1984-10-01 00:00:00,94.7,1642,0.01283534488149584,2.413044837721218,2.154585565832481,1.259916348761318,3.128756683670334,1.950832251918449,0.9220696466690032,4.316079488832874,Census Tract 3191.03
